	Arid1a_fold_change
1415842_at	0.916216456735635
1415843_at	0.881191179422777
1415844_at	1.04356948813963
1415845_at	0.981349490447224
1415846_a_at	0.977338032831674
1415847_at	0.926283284112146
1415848_at	1.06907476504774
1415849_s_at	1.00066165334947
1415850_at	1.34434887109233
1415851_a_at	0.986766199321463
1415852_at	0.980388756525091
1415853_at	1.03174144236201
1415854_at	0.963587611422695
1415855_at	1.35663143711138
1415856_at	1.43291625124762
1415857_at	1.56586446516124
1415858_at	1.02699974348673
1415859_at	0.624616272272221
1415860_at	0.786037525419567
1415861_at	1.18294687597245
1415862_at	1.20342160843971
1415863_at	1.03525385290206
1415864_at	1.22354374034886
1415865_s_at	1.11041674186278
1415866_at	1.11324208818718
1415867_at	1.0172288305263
1415868_at	1.03249140638129
1415869_a_at	0.991218276069453
1415870_at	1.01586630938194
1415871_at	0.646728522586737
1415872_at	0.951538043823796
1415873_a_at	0.992892227208976
1415874_at	1.06061077760897
1415875_at	0.909997375963402
1415876_a_at	1.01349062969742
1415877_at	1.14365207498176
1415878_at	0.768797104072499
1415879_a_at	1.02422484130013
1415880_a_at	1.03454397333566
1415881_at	0.955483276730317
1415882_at	0.951682791178179
1415883_a_at	1.04919432759368
1415884_at	1.00522627548454
1415885_at	1.01201935212154
1415886_at	1.31313665110958
1415887_at	1.03034519093023
1415888_at	0.856482395962494
1415889_a_at	0.913980870497045
1415890_at	1.01778090348251
1415891_at	0.804453026845091
1415892_at	1.1253794227942
1415893_at	0.932664971026682
1415894_at	1.11146598605747
1415895_at	1.05251205642552
1415896_x_at	1.09905679265645
1415897_a_at	1.02626156963201
1415898_at	1.04202425773015
1415899_at	0.978686685151139
1415900_a_at	1.19116901191889
1415901_at	1.09197694604279
1415902_at	1.06142313560787
1415903_at	0.994985125252725
1415904_at	1.46959875667168
1415905_at	0.956966520501268
1415906_at	0.988795560436117
1415907_at	1.07680104306057
1415908_at	0.970436379496282
1415909_at	1.14247977319008
1415910_s_at	1.01184349952005
1415911_at	1.0745340046963
1415912_a_at	0.955074813897163
1415913_at	1.00628182223233
1415914_at	0.931783083824837
1415915_at	0.928311487070122
1415916_a_at	0.90133036234163
1415917_at	0.835765575366378
1415918_a_at	0.846446594193669
1415919_at	1.33200000574958
1415920_at	0.906105348861493
1415921_a_at	1.01735133913451
1415922_s_at	0.948378894959559
1415923_at	0.961920507848957
1415924_at	0.971751955990768
1415925_a_at	0.987948141721793
1415926_at	0.936791054321679
1415927_at	0.974606762739351
1415928_a_at	1.0721461165829
1415929_at	1.25192361070959
1415930_a_at	1.04439212938316
1415931_at	1.0082936537499
1415932_x_at	1.1216387187958
1415933_a_at	0.915823348528629
1415934_at	1.00721793031578
1415935_at	1.66705524148942
1415936_at	1.4560343122774
1415937_s_at	0.902099458656759
1415938_at	1.33102972892505
1415939_at	1.13597334580074
1415940_at	1.02923033261432
1415941_s_at	0.954267354969661
1415942_at	1.02975070869434
1415943_at	0.943668649256516
1415944_at	0.925682482558979
1415945_at	0.69617229755658
1415946_at	0.98282185683045
1415947_at	0.910978324869963
1415948_at	1.05652215432361
1415949_at	1.24118686919773
1415950_a_at	0.997320041181581
1415951_at	1.0934560528611
1415952_at	1.02375849683373
1415953_s_at	1.1069562608999
1415954_at	0.986296123474497
1415955_x_at	1.01497553678298
1415956_a_at	0.976098812032155
1415957_a_at	1.10267718257224
1415958_at	1.18660308631523
1415959_at	1.18923590065825
1415960_at	0.927629497664314
1415961_at	1.05329453751298
1415962_at	0.970849824641857
1415963_at	0.903963279052155
1415964_at	0.858444385305464
1415965_at	0.814006469929803
1415966_a_at	0.998049851413003
1415967_at	1.03060805738795
1415968_a_at	1.07161078552116
1415969_s_at	1.01678700635719
1415970_at	1.1299104559578
